26年春季考试招生计划及分数参考,,
院校名称,专业名称,最低分
云南体育运动职业技术学院,飞行器维修技术,482
云南体育运动职业技术学院,康复治疗技术,476
云南体育运动职业技术学院,新闻采编与制作,477
云南体育运动职业技术学院,食品营养与健康,462
云南体育运动职业技术学院,休闲服务与管理,451
云南农业职业技术学院,宠物养护与驯导,501
云南农业职业技术学院,烟草栽培与加工技术,547
云南农业职业技术学院,园林技术,481
云南农业职业技术学院,园林工程技术,478
云南农业职业技术学院,农产品加工与质量检测,495
云南农业职业技术学院,食品质量与安全,480
云南农业职业技术学院,药品经营与管理药品生产技术,465
云南农业职业技术学院,中药学,459
云南农业职业技术学院,电子商务,463
云南农业职业技术学院,现代农业经济管理,489
云南农业职业技术学院,会计信息管理,477
云南林业职业技术学院,林业技术,498
云南林业职业技术学院,生态农业技术,473
云南林业职业技术学院,园林技术,486
云南林业职业技术学院,园艺技术,471
云南林业职业技术学院,植物保护与检疫技术,456
云南林业职业技术学院,中草药栽培与加工技术,469
云南林业职业技术学院,作物生产与经营管理,452
云南林业职业技术学院,宠物养护与驯导,472
云南林业职业技术学院,畜牧兽医,496
云南林业职业技术学院,动物医学,503
云南林业职业技术学院,计算机网络技术,488
云南林业职业技术学院,烹饪工艺与营养,453
云南林业职业技术学院,汽车检测与维修技术,465
云南林业职业技术学院,食品质量与安全,447
云南林业职业技术学院,新能源汽车技术,452
云南林业职业技术学院,药品经营与管理,445
云南林业职业技术学院,大数据与财务管理,453
云南林业职业技术学院,大数据与会计,449
云南林业职业技术学院,高速铁路客运服务,441
云南林业职业技术学院,旅游管理,449
云南林业职业技术学院,网络营销与直播电商,452
大理农林职业技术学院,林业技术,479
大理农林职业技术学院,生态农业技术,471
大理农林职业技术学院,园林技术,469
大理农林职业技术学院,园艺技术,458
大理农林职业技术学院,畜牧兽医,463
大理农林职业技术学院,动物医学,478
大理农林职业技术学院,计算机网络技术,466
大理农林职业技术学院,旅游管理,450
大理农林职业技术学院,网络营销与直播电商,448
大理农林职业技术学院,植物保护与检疫技术,441
大理农林职业技术学院,中草药栽培与加工技术,446
大理农林职业技术学院,作物生产与经营管理,436
大理农林职业技术学院,宠物养护与驯导,447
大理农林职业技术学院,烹饪工艺与营养,432
大理农林职业技术学院,汽车检测与维修技术,445
大理农林职业技术学院,食品质量与安全,430
大理农林职业技术学院,新能源汽车技术,449
大理农林职业技术学院,药品经营与管理,436
大理农林职业技术学院,大数据与财务管理,431
大理农林职业技术学院,大数据与会计,434
大理农林职业技术学院,高速铁路客运服务,428
昆明工业职业技术学院,电气自动化技术,510
昆明工业职业技术学院,智能控制技术,490
昆明工业职业技术学院,工业互联网应用,451
昆明工业职业技术学院,电力系统自动化技术,501
昆明工业职业技术学院,供用电技术,495
昆明工业职业技术学院,工业机器人技术,481
昆明工业职业技术学院,数控技术,504
昆明工业职业技术学院,机电设备技术,495
昆明工业职业技术学院,智能焊接技术,500
昆明工业职业技术学院,机械制造及自动化,499
昆明工业职业技术学院,数字化设计与制造技术,469
昆明工业职业技术学院,计算机网络技术,480
昆明工业职业技术学院,信息安全技术应用,468
昆明工业职业技术学院,广告艺术设计,457
昆明工业职业技术学院,电子商务,453
昆明工业职业技术学院,大数据技术,482
昆明工业职业技术学院,建筑钢结构工程技术,456
昆明工业职业技术学院,建筑工程技术,464
昆明工业职业技术学院,工程造价,461
昆明工业职业技术学院,工程测量技术,475
昆明工业职业技术学院,道路与桥梁工程技术,465
昆明工业职业技术学院,智能建造技术,459
昆明工业职业技术学院,大数据与会计,453
昆明工业职业技术学院,统计与会计核算,406
昆明工业职业技术学院,市场营销,455
昆明工业职业技术学院,现代物业管理,469
昆明工业职业技术学院,人力资源管理,452
昆明工业职业技术学院,网络营销与直播电商,459
昆明工业职业技术学院,早期教育,441
昆明工业职业技术学院,学前教育,457
昆明工业职业技术学院,康复治疗技术,480
昆明工业职业技术学院,健康管理,477
昆明工业职业技术学院,智慧健康养老服务与管理,458
昆明工业职业技术学院,钢铁智能冶金技术,488
昆明工业职业技术学院,材料成型及控制技术,450
昆明工业职业技术学院,分析检验技术,463
昆明工业职业技术学院,应用化工技术,468
昆明工业职业技术学院,材料工程技术,448
昆明工业职业技术学院,金属智能加工技术,464
昆明工业职业技术学院,矿山智能开采技术,464
昆明工业职业技术学院,资源综合利用技术,447
昆明工业职业技术学院,现代物流管理,449
昆明工业职业技术学院,汽车制造与试验技术,475
昆明工业职业技术学院,新能源汽车技术,500
昆明工业职业技术学院,汽车检测与维修技术,483
昆明工业职业技术学院,供应链运营,453
玉溪农业职业技术学院,作物生产与经营管理,469
玉溪农业职业技术学院,种子生产与经营,462
玉溪农业职业技术学院,烟草栽培与加工技术,481
玉溪农业职业技术学院,农产品加工与质量检测,463
玉溪农业职业技术学院,绿色食品生产技术,443
玉溪农业职业技术学院,园艺技术,442
玉溪农业职业技术学院,园林技术,447
玉溪农业职业技术学院,食用菌生产与加工技术,436
玉溪农业职业技术学院,现代农业技术,446
玉溪农业职业技术学院,宠物医疗技术,431
玉溪农业职业技术学院,动物防疫与检疫,435
玉溪农业职业技术学院,水产养殖技术,449
玉溪农业职业技术学院,畜牧兽医,452
玉溪农业职业技术学院,食品智能加工技术,428
玉溪农业职业技术学院,食品检验检测技术,426
玉溪农业职业技术学院,药品生产技术,430
玉溪农业职业技术学院,药品质量与安全,435
玉溪农业职业技术学院,药品经营与管理,428
玉溪农业职业技术学院,药学,437
玉溪农业职业技术学院,中药学,449
玉溪农业职业技术学院,中药材生产与加工,437
玉溪农业职业技术学院,烹饪工艺与营养,429
玉溪农业职业技术学院,中医养生保健,430
玉溪农业职业技术学院,婴幼儿托育服务与管理,425
玉溪农业职业技术学院,建筑室内设计,448
玉溪农业职业技术学院,工程造价,426
玉溪农业职业技术学院,无人机应用技术,451
玉溪农业职业技术学院,环境艺术设计,433
玉溪农业职业技术学院,现代农业经济管理,441
玉溪农业职业技术学院,大数据与财务管理,433
玉溪农业职业技术学院,大数据与会计,426
玉溪农业职业技术学院,市场营销,418
玉溪农业职业技术学院,电子商务,420
玉溪农业职业技术学院,现代物流管理,422
