2026云南省春季高考招生院校、专业及预测分数,,,,
院校,专业,,,
玉溪农业职业技术学院,现代物流管理,,,
玉溪农业职业技术学院,现代文秘,,,
玉溪农业职业技术学院,农业电气化技术,,,
玉溪农业职业技术学院,物联网应用技术,,,
玉溪农业职业技术学院,计算机应用技术,,,
玉溪农业职业技术学院,计算机网络技术,,,
玉溪农业职业技术学院,信息安全技术应用,,,
玉溪职业技术学院,电气自动化技术,,,
玉溪职业技术学院,数字化设计与制造技术,,,
玉溪职业技术学院,智能控制技术,,,
玉溪职业技术学院,新能源汽车检测与维修技术,,,
玉溪职业技术学院,智能网联汽车技术,,,
玉溪职业技术学院,智能建造技术,,,
玉溪职业技术学院,财税大数据应用,,,
玉溪职业技术学院,智能光电技术应用,,,
玉溪职业技术学院,人工智能技术应用,,,
玉溪职业技术学院,中医康复技术,,,
玉溪职业技术学院,康复治疗技术,,,
玉溪职业技术学院,护理,,,
玉溪职业技术学院,生物制药技术,,,
玉溪职业技术学院,食品智能加工技术,,,
玉溪职业技术学院,旅游管理,,,
玉溪职业技术学院,体育保健与康复,,,
玉溪职业技术学院,运动训练,,,
红河职业技术学院,学前教育,,,
红河职业技术学院,婴幼儿托育服务与管理,,,
红河职业技术学院,跨境电子商务,,,
红河职业技术学院,应用电子技术,,,
红河职业技术学院,生态农业技术,,,
红河职业技术学院,建筑工程技术,,,
红河职业技术学院,应急救援技术(消防),,,
红河职业技术学院,城市轨道交通运营管理(高铁),,,
红河职业技术学院,智能建造技术,,,
红河职业技术学院,机电一体化技术,,,
红河职业技术学院,烹饪工艺与营养,,,
红河职业技术学院,美容美体艺术,,,
红河职业技术学院,书画艺术,,,
红河职业技术学院,种子生产与经营,,,
红河职业技术学院,中草药栽培与加工技术,,,
红河职业技术学院,新能源汽车检测与维修技术,,,
红河职业技术学院,大数据与会计(会计),,,
红河职业技术学院,陶瓷设计与工艺(紫陶),,,
红河职业技术学院,畜牧兽医,,,
红河职业技术学院,计算机网络技术,,,
红河职业技术学院,雕塑设计,,,
红河职业技术学院,舞蹈表演,,,
红河职业技术学院,建筑消防技术,,,
红河职业技术学院,智能交通技术,,,
红河职业技术学院,民宿管理与运营,,,
红河职业技术学院,智能物流技术,,,
红河职业技术学院,生态环境修复技术,,,
红河职业技术学院,智能制造装备技术,,,
红河职业技术学院,运动训练(体育),,,
西双版纳职业技术学院,供用电技术,,,
西双版纳职业技术学院,行政管理,,,
西双版纳职业技术学院,新能源汽车技术,,,
西双版纳职业技术学院,法律事务,,,
西双版纳职业技术学院,大数据与会计,,,
西双版纳职业技术学院,国际经济与贸易,,,
西双版纳职业技术学院,酒店管理与数字化运营,,,
西双版纳职业技术学院,旅游管理,,,
西双版纳职业技术学院,应用外语(老挝语),,,
西双版纳职业技术学院,应用外语(缅句语),,,
西双版纳职业技术学院,中文,,,
西双版纳职业技术学院,应用泰语,,,
西双版纳职业技术学院,旅游英语,,,
西双版纳职业技术学院,应用英语,,,
西双版纳职业技术学院,畜牧兽医,,,
西双版纳职业技术学院,林业技术,,,
西双版纳职业技术学院,现代农业技术,,,
西双版纳职业技术学院,园艺技术,,,
西双版纳职业技术学院,植物保护与检疫技术,,,
西双版纳职业技术学院,茶叶生产与加工技术,,,
西双版纳职业技术学院,食品质量与安全,,,
西双版纳职业技术学院,跨境电子商务,,,
西双版纳职业技术学院,现代物流管理,,,
西双版纳职业技术学院,计算机应用技术,,,
西双版纳职业技术学院,数字媒体技术,,,
香格里拉职业学院,林业技术,,,
香格里拉职业学院,畜牧兽医,,,
香格里拉职业学院,康复治疗技术,,,
香格里拉职业学院,现代文秘,,,
香格里拉职业学院,旅游管理,,,
香格里拉职业学院,酒店管理与数字化运营,,,
香格里拉职业学院,绿色食品生产技术,,,
香格里拉职业学院,民族表演艺术,,,
香格里拉职业学院,新能源汽车检测与维修技术,,,
云南交通职业技术学院,土木工程检测技术,,,
云南交通职业技术学院,道路养护与管理,,,
云南交通职业技术学院,建筑材料工程技术（中外合作办学）,,,
云南交通职业技术学院,测绘工程技术,,,
云南交通职业技术学院,工程造价,,,
云南交通职业技术学院,安全技术与管理,,,
云南交通职业技术学院,智能建造技术,,,
云南交通职业技术学院,新能源汽车技术,,,
云南交通职业技术学院,智能网联汽车技术,,,
云南交通职业技术学院,汽车制造与试验技术,,,
云南交通职业技术学院,汽车检测与维修技术,,,
云南交通职业技术学院,工业互联网应用,,,
云南交通职业技术学院,智能工程机械运用技术,,,
云南交通职业技术学院,智能制造装备技术,,,
云南交通职业技术学院,工业机器人技术,,,
云南交通职业技术学院,无人机应用技术,,,
云南交通职业技术学院,大数据技术,,,
云南交通职业技术学院,物联网应用技术,,,
云南交通职业技术学院,现代通信技术,,,
云南交通职业技术学院,智能交通技术（中外）,,,
云南交通职业技术学院,嵌入式技术应用,,,
云南交通职业技术学院,现代物流管理,,,
云南交通职业技术学院,智能物流技术,,,
云南交通职业技术学院,空中乘务,,,
云南交通职业技术学院,民航安全技术管理,,,
云南交通职业技术学院,大数据与会计,,,
云南交通职业技术学院,网络营销与直播电商,,,
云南交通职业技术学院,人力资源管理,,,
云南交通职业技术学院,商务英语,,,
云南交通职业技术学院,应用泰语,,,
云南交通职业技术学院,储能材料技术,,,
云南交通职业技术学院,应用化工技术,,,
云南交通职业技术学院,分析检验技术,,,
云南交通运输职业学院,汽车技术服务与营销,,,
云南交通运输职业学院,新能源汽车技术,,,
云南交通运输职业学院,汽车制造与试验技术,,,
云南交通运输职业学院,新能源汽车检测与维修技术,,,
云南交通运输职业学院,汽车造型与改装技术,,,
云南交通运输职业学院,道路养护与管理,,,
云南交通运输职业学院,道路机械化施工技术,,,
云南交通运输职业学院,工程造价,,,
云南交通运输职业学院,土木工程检测技术,,,
云南交通运输职业学院,道路与桥梁工程技术,,,
云南交通运输职业学院,智能工程机械运用技术,,,
云南交通运输职业学院,航海技术,,,
云南交通运输职业学院,轮机工程技术,,,
云南交通运输职业学院,港口物流管理,,,
云南交通运输职业学院,港口与航运管理,,,
云南交通运输职业学院,国际邮轮乘务管理,,,
云南交通运输职业学院,飞机机电设备维修,,,
云南交通运输职业学院,无人机应用技术,,,
云南交通运输职业学院,通用航空器维修,,,
云南交通运输职业学院,民航运输服务,,,
云南交通运输职业学院,飞行器数字化制造技术,,,
云南交通运输职业学院,软件技术,,,
云南交通运输职业学院,汽车智能技术,,,
云南交通运输职业学院,大数据技术,,,
云南交通运输职业学院,智能交通技术,,,
云南交通运输职业学院,智能网联汽车技术,,,
云南交通运输职业学院,城市轨道交通运营管理,,,
云南交通运输职业学院,铁道通信与信息化技术,,,
云南交通运输职业学院,铁道车辆技术,,,
云南交通运输职业学院,铁道交通运营管理,,,
云南交通运输职业学院,智慧健康养老服务与管理,,,
云南交通运输职业学院,休闲服务与管理,,,
