2026云南省职教高考招生院校、专业及专业大类,,,





院校,专业,专业大类,分数
云南国防工业职业技术学院,电子商务,经济管理类,390
云南国防工业职业技术学院,现代物流管理,经济管理类,395
云南国防工业职业技术学院,大数据与审计,经济管理类,400


















云南工商学院,财务管理,经济管理类,423
云南工商学院,网络与新媒体,经济管理类,420
云南工商学院,经济学,经济管理类,419
云南工商学院,工商管理,经济管理类,425











云南中医药大学,公共事业管理,经济管理类,460







玉溪师范学院,会计学,经济管理类,455




















滇池学院,经济学,经济管理类,430
滇池学院,数字经济,经济管理类,425
滇池学院,金融学,经济管理类,425
滇池学院,国际经济与贸易,经济管理类,428
滇池学院,会计学,经济管理类,430
滇池学院,财务管理,经济管理类,428
滇池学院,人力资源管理,经济管理类,425
滇池学院,行政管理,经济管理类,420












昆明城市学院,会计学,经济管理类,425
昆明城市学院,财务管理,经济管理类,423








昆明城市学院,大数据与财务管理,经济管理类,420

昆明城市学院,商务数据分析与应用,经济管理类,419

昆明城市学院,网络新闻与传播,经济管理类,425















昆明医科大学海源学院,财务管理,经济管理类,423
昆明医科大学海源学院,医疗保险,经济管理类,420












丽江文化旅游学院,大数据与财务管理,经济管理类,425

丽江文化旅游学院,休闲服务与管理,经济管理类,420


丽江文化旅游学院,跨境电子商务,经济管理类,419
